Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;03/2025;948.703;0;0;11.743.509;0;0;12.692.212;127.841;233.838;237.118;1.477.701;0;0;1.948.657;1.473.119;16.241.829;29.284;6.101.360;104.285;22.476.758;1.163.952;23.640.711
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2025;1.145;0;0;1.208.234;0;39.713;1.249.092;2.727.284;0;0;0;0;1.179.184;1.179.184;518.854;5.674.414;991.470;9.799.336;0;16.465.220;6.991.715;23.456.935
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2025;0;0;0;3.547.338;0;0;3.547.338;0;0;0;968.732;0;1.183.034;2.151.766;2.100.564;7.799.668;4.131.939;4.933.127;0;16.864.735;5.927.151;22.791.886
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;03/2025;0;0;961.560;492.586;0;1.481;1.455.626;0;0;0;2.467.593;0;0;2.467.593;90.755;4.013.975;0;15.011.054;1.144.833;20.169.861;1.547.587;21.717.448
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2025;498.935;2.189;554.461;5.392.274;0;998;6.448.859;4.476.908;0;569.378;46.788;0;0;616.166;5.868.777;17.410.711;18.424;1.076.917;976.174;19.482.226;2.032.184;21.514.410
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;03/2025;19.014;0;0;1.307.878;0;0;1.326.892;635.657;0;0;1.942.173;0;0;1.942.173;2.775;3.907.498;0;14.416.417;0;18.323.914;2.839.626;21.163.540
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;03/2025;36;0;1.494.481;8.239.111;0;0;9.733.628;0;44.916;0;4.972.559;0;0;5.017.475;0;14.751.103;13.526;1.271.976;0;16.036.605;4.877.867;20.914.472
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;03/2025;154.267;0;63.483;11.530.765;0;0;11.748.516;6.144.532;1.058;117.927;94.701;0;-53;213.633;291.305;18.397.986;76.132;936.075;278.884;19.689.078;1.171.937;20.861.015
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;0;0;2.254.873;2.673.794;0;0;4.928.667;0;0;0;4.649.553;0;0;4.649.553;7.043.373;16.621.593;1.796;761.918;0;17.385.307;2.625.843;20.011.150
TERRA INVESTIMENTOS DTVM - PRUDENCIAL;1000084514;n2;S4;C;2;SAO PAULO;SP;03/2025;0;0;0;0;0;70.023;70.023;1.485.048;0;0;0;0;0;0;0;1.555.071;18.302.001;36.731;0;19.893.803;81.709;19.975.512
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;03/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.435.270;0;18.435.270;855.829;19.291.099
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;03/2025;12.530;0;0;584.216;0;0;596.747;0;0;0;0;0;0;0;279;597.026;0;17.034.672;0;17.631.697;1.217.485;18.849.182
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;03/2025;1.027.705;1.973.148;459.700;9.707.577;0;0;13.168.131;735.838;443.858;0;1.112.324;0;0;1.556.182;313.137;15.773.287;0;773.772;0;16.547.058;2.165.118;18.712.177
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2025;1.011;0;212.732;1.235.000;0;0;1.448.744;607.195;0;0;124.681;0;0;124.681;11.403.021;13.583.641;1.217.023;385.762;0;15.186.425;2.778.178;17.964.603
