Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;03/2025;13.276.077;2.222.218;4.668.664;11.684.129;9.208.159;1.591.948;33.135;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;03/2025;13.023.141;6.938.446;4.108.490;10.767.389;9.575.393;2.255.752;36.485;2;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;03/2025;12.830.621;8.429.170;485.703;11.101.255;10.170.068;1.729.366;16.122;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;03/2025;12.577.930;7.688.003;3.274.792;11.384.422;6.614.490;1.193.508;27.318;0;113
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;C;1;ARACAJU;SE;03/2025;12.359.328;4.462.922;2.079.802;11.543.589;11.022.985;815.739;7.361;65;7
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S3;C;3;SAO PAULO;SP;03/2025;11.926.398;10.070.932;0;10.428.260;10.053.148;1.498.139;51.571;2;0
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;03/2025;11.683.803;935.420;7.094.939;10.843.922;2.395.507;839.881;0;0;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;03/2025;11.607.763;115.690;2.967.542;10.955.454;441.376;652.310;27.504;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;03/2025;11.544.481;8.121.386;2.045.180;9.806.689;4.863.164;1.737.791;90.653;0;39
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;03/2025;11.482.630;8.348.459;1.713.856;10.097.216;9.828.747;1.385.414;53.522;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;03/2025;11.389.230;7.193.531;3.068.135;10.274.018;6.423.466;1.115.212;14.811;0;97
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;03/2025;11.230.196;4.979.907;1.539.203;3.614.983;3.480.408;7.615.214;24.860;61;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;03/2025;11.186.156;6.875.899;735.397;9.095.206;7.462.456;2.090.950;120.858;0;46
BANCO INBURSA S.A.;4866275;b1;S4;I;3;SAO PAULO;SP;03/2025;10.739.464;10.329.328;292.961;9.441.211;9.340.287;1.298.252;50.197;2;1
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;03/2025;10.628.100;6.702.336;2.849.220;9.397.027;5.637.535;1.231.073;73.304;0;97
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;03/2025;10.590.791;0;5.358.752;8.338.201;0;2.252.589;0;0;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;03/2025;10.407.759;5.615.159;3.401.493;9.318.504;6.554.266;1.089.254;67.020;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;03/2025;10.199.824;5.815.565;3.510.586;9.141.531;6.318.738;1.058.293;51.475;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;03/2025;10.104.731;5.253.807;3.635.158;9.059.957;6.741.311;1.044.774;50.846;0;55
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;C;3;SAO PAULO;SP;03/2025;9.922.966;2.192.743;4.615.002;7.819.781;6.582.236;2.103.185;-28.047;2;0
HONDA;51396;b2;S4;C;3;SAO PAULO;SP;03/2025;9.883.222;7.721.705;228.992;8.502.553;8.176.240;1.380.668;13.033;4;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S4;I;2;CHAPECO;SC;03/2025;9.552.000;5.800.006;140.088;8.368.915;7.174.098;1.183.084;72.786;0;101
