Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;;C;3;SAO PAULO;SP;09/2023;3.328.034;0;3.328.034;0;3.328.034;7.477.154;16.680;0;1.760.341;0;1.951.989;3.729.009;887.290;0;12.093.454;21.605.680;27,52%;27,52%;27,52%;302.336;15,40%;0,42%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;;I;3;PORTO ALEGRE;RS;09/2023;1.412.619;0;1.412.619;416.105;1.828.724;11.471.541;20.182;0;0;0;15.592;35.774;517.217;0;12.024.533;14.130.618;11,75%;11,75%;15,21%;300.613;10,00%;2,27%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;;I;2;BLUMENAU;SC;09/2023;2.524.185;0;2.524.185;0;2.524.185;9.380.822;0;0;0;0;0;0;2.180.108;0;11.560.929;14.374.853;21,83%;21,83%;21,83%;289.023;17,56%;1,83%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;1;I;1;BELEM;PA;09/2023;1.717.900;0;1.717.900;0;1.717.900;10.106.827;93.450;0;13.737;0;0;107.186;1.188.490;0;11.402.503;15.683.443;15,07%;15,07%;15,07%;285.063;10,95%;3,52%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;;C;3;SAO PAULO;SP;09/2023;2.643.179;0;2.643.179;0;2.643.179;9.443.851;163.111;0;4.314;0;689.174;856.599;676.615;0;10.977.065;45.793.153;24,08%;24,08%;24,08%;274.427;5,77%;0,46%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2023;1.199.466;61.892;1.261.358;458.811;1.720.170;9.234.170;2.938;0;6.307;2.098;0;11.343;1.304.110;0;10.549.623;18.759.019;11,37%;11,96%;16,31%;263.741;6,72%;24,58%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;;I;3;SAO PAULO;SP;09/2023;2.833.214;0;2.833.214;0;2.833.214;6.109.345;41.713;53;3.106.975;0;223.174;3.371.915;936.728;0;10.417.988;20.635.385;27,20%;27,20%;27,20%;260.450;13,73%;0,95%
AGIBANK - PRUDENCIAL;1000083694;b1;S4;;C;2;CAMPINAS;SP;09/2023;1.090.578;0;1.090.578;291.340;1.381.918;8.820.410;394;0;37.068;0;0;37.463;1.263.212;0;10.121.084;17.214.688;10,78%;10,78%;13,65%;253.027;6,34%;21,21%
SCANIA - PRUDENCIAL;1000080776;b2;S4;;C;3;SAO BERNARDO DO CAMPO;SP;09/2023;1.330.608;0;1.330.608;12.723;1.343.331;9.756.196;0;0;0;0;0;0;171.124;0;9.927.320;11.340.255;13,40%;13,40%;13,53%;248.183;11,73%;0,71%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;;I;2;BEBEDOURO;SP;09/2023;2.540.796;0;2.540.796;0;2.540.796;8.337.909;0;0;0;0;0;0;1.353.909;0;9.691.818;15.296.467;26,22%;26,22%;26,22%;242.295;16,61%;3,82%
GM - PRUDENCIAL;1000080848;b2;S3;;C;3;SAO PAULO;SP;09/2023;2.676.113;0;2.676.113;0;2.676.113;9.068.611;0;0;0;0;0;0;519.828;0;9.588.440;13.162.691;27,91%;27,91%;27,91%;239.711;20,33%;2,08%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;;C;3;SAO PAULO;SP;09/2023;1.153.965;0;1.153.965;0;1.153.965;8.370.252;0;0;0;0;8.303;8.303;615.171;0;8.993.725;13.452.821;12,83%;12,83%;12,83%;224.843;8,58%;1,67%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;;I;2;SERTAOZINHO;SP;09/2023;1.308.356;0;1.308.356;0;1.308.356;8.000.696;0;0;0;54.878;0;54.878;722.480;0;8.778.054;11.476.175;14,90%;14,90%;14,90%;219.451;11,40%;7,69%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;1;C;2;SAO PAULO;SP;09/2023;6.098.551;0;6.098.551;0;6.098.551;3.927.136;2.582;40;2.219;36;0;4.877;4.790.012;0;8.722.025;7.416.735;69,92%;69,92%;69,92%;436.101;82,23%;0,35%
PINE - PRUDENCIAL;1000080374;b1;S3;;C;2;SAO PAULO;SP;09/2023;807.468;0;807.468;179.816;987.284;7.471.504;7.680;2.638;151.538;600;0;162.455;976.913;0;8.610.872;20.279.127;9,38%;9,38%;11,47%;215.272;3,98%;15,09%
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;;C;3;SAO PAULO;SP;09/2023;2.238.889;0;2.238.889;0;2.238.889;6.491.074;197.271;0;517.981;0;266.056;981.308;704.633;0;8.177.015;13.316.888;27,38%;27,38%;27,38%;408.851;16,81%;0,16%
SOFISA - PRUDENCIAL;1000080271;b1;S3;1;C;2;SAO PAULO;SP;09/2023;1.004.107;113.667;1.117.773;0;1.117.773;7.095.761;18.171;0;68.731;0;0;86.902;471.368;0;7.654.032;13.700.887;13,12%;14,60%;14,60%;191.351;8,16%;9,60%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;;I;2;LUCAS DO RIO VERDE;MT;09/2023;1.278.483;0;1.278.483;33.064;1.311.547;7.256.531;116.988;0;0;0;0;116.988;203.678;0;7.577.197;11.519.595;16,87%;16,87%;17,31%;189.430;11,10%;7,16%
WILL IP - PRUDENCIAL;1000084600;n1;S4;3;C;2;SAO PAULO;SP;09/2023;-551.218;0;-551.218;0;-551.218;4.662.860;5.452;0;0;0;0;5.452;2.474.755;90.698;7.233.766;NA;-7,62%;-7,62%;-7,62%;180.844;NA%;NA%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S4;;I;2;MARINGA;PR;09/2023;1.043.731;0;1.043.731;86.113;1.129.845;6.679.567;0;0;0;0;0;0;264.477;0;6.944.044;11.252.092;15,03%;15,03%;16,27%;173.601;9,28%;30,55%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;;I;1;BELO HORIZONTE;MG;09/2023;1.829.889;0;1.829.889;0;1.829.889;5.858.266;66.131;0;1.733;0;27.305;95.169;808.218;0;6.761.652;9.129.151;27,06%;27,06%;27,06%;169.041;20,04%;0,85%
HONDA - PRUDENCIAL;1000080611;b2;S4;;C;3;SAO PAULO;SP;09/2023;2.527.946;0;2.527.946;0;2.527.946;6.299.248;0;0;0;0;63.830;63.830;298.773;0;6.661.851;9.862.206;37,95%;37,95%;37,95%;333.093;25,63%;0,22%
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;;I;3;SAO PAULO;SP;09/2023;955.753;569.373;1.525.127;0;1.525.127;3.525.091;309.949;0;1.399.907;0;300.609;2.010.466;1.118.101;0;6.653.658;11.249.140;14,36%;22,92%;22,92%;166.341;13,56%;0,64%
