Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2024;1.527;3.143.577;20.435.572;0;0;0;0;0;0;0;0;853.182;96;336.679;24.770.633;0;24.770.633
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;06/2024;290.692;239.060;3.391.629;18.868.874;-894.482;17.974.391;0;0;0;0;0;941.812;481.966;804.551;24.124.101;0;24.124.101
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;06/2024;40.909;1.103.003;2.079.992;19.728.765;-459.255;19.269.510;0;0;0;0;0;519.453;140.559;49.145;23.202.572;0;23.202.572
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;06/2024;11.069;14.180.417;6.866.000;174.951;-875;174.076;0;0;0;0;0;44.467;230.840;765.584;22.272.454;0;22.272.454
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;06/2024;1.198.771;2.558.765;1.280.340;15.318.876;-418.160;14.900.716;0;0;0;0;0;1.138.512;544.339;642.872;22.264.315;0;22.264.315
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2024;10.806;38.347;312.226;16.763.173;-642.727;16.120.446;715;28.663;7.765;-1.213;35.931;3.353.766;81.455;20.479;19.973.456;7.765;19.965.690
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;06/2024;12.676;12.402.591;3.867.513;1.119.205;0;1.119.205;0;0;0;0;0;2.499.581;997;12.614;19.915.178;0;19.915.178
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;06/2024;132.953;6.981.194;4.059.321;909.782;0;909.782;0;0;0;0;0;7.302.926;5.522;25.166;19.416.863;0;19.416.863
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;06/2024;4.296;0;936.176;7.454.639;-2.928.441;4.526.198;0;0;0;0;0;12.408.222;464.836;1.023.334;19.363.063;0;19.363.063
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;06/2024;61.747;856.933;4.866.222;8.522.315;-191.369;8.330.946;1.114;225.980;37.691;-1.542;263.243;4.677.358;88.639;11.281;19.156.368;37.691;19.118.677
